,date,open,high,low,close,volume
0,2023-09-01 11:05:00,191.11,191.15,190.93,190.96,122584
1,2023-09-01 11:10:00,190.96,191.08,190.91,191.0,465321
2,2023-09-01 11:15:00,191.0,191.26,190.98,191.24,121910
3,2023-09-01 11:20:00,191.23,191.32,191.13,191.29,181528
4,2023-09-01 11:25:00,191.29,191.33,191.1,191.21,124909
5,2023-09-01 11:30:00,191.22,191.27,191.01,191.08,190758
6,2023-09-01 11:35:00,191.08,191.12,190.88,190.93,176387
7,2023-09-01 11:40:00,190.92,190.95,190.74,190.77,152414
8,2023-09-01 11:45:00,190.77,190.78,190.49,190.53,254565
9,2023-09-01 11:50:00,190.53,190.67,190.44,190.67,191313
10,2023-09-01 11:55:00,190.67,190.7,190.58,190.6,150339
11,2023-09-01 12:00:00,190.59,190.6,190.46,190.55,289009
12,2023-09-01 12:05:00,190.55,190.69,190.52,190.69,306004
13,2023-09-01 12:10:00,190.69,190.83,190.68,190.79,129085
14,2023-09-01 12:15:00,190.8,190.85,190.76,190.82,60539
15,2023-09-01 12:20:00,190.82,190.97,190.79,190.97,153737
16,2023-09-01 12:25:00,190.97,191.1,190.96,191.05,98665
17,2023-09-01 12:30:00,191.05,191.19,191.03,191.18,167838
18,2023-09-01 12:35:00,191.18,191.19,190.94,190.99,104877
19,2023-09-01 12:40:00,190.99,191.07,190.91,190.98,131538
20,2023-09-01 12:45:00,190.98,191.07,190.93,191.06,361112
21,2023-09-01 12:50:00,191.06,191.18,191.01,191.05,142434
22,2023-09-01 12:55:00,191.05,191.12,191.01,191.05,133341
23,2023-09-01 13:00:00,191.04,191.11,190.92,190.99,82145
24,2023-09-01 13:05:00,190.98,191.04,190.86,190.87,68494
25,2023-09-01 13:10:00,190.88,190.96,190.84,190.93,105010
26,2023-09-01 13:15:00,190.94,190.99,190.91,190.97,121936
27,2023-09-01 13:20:00,190.98,191.09,190.94,190.95,79108
28,2023-09-01 13:25:00,190.93,190.97,190.85,190.94,78326
29,2023-09-01 13:30:00,190.95,191.05,190.91,190.98,88841
30,2023-09-01 13:35:00,190.99,191.04,190.95,191.0,238775
31,2023-09-01 13:40:00,190.99,191.02,190.87,190.88,62231
32,2023-09-01 13:45:00,190.88,190.9,190.81,190.87,96031
33,2023-09-01 13:50:00,190.88,190.98,190.84,190.95,228248
34,2023-09-01 13:55:00,190.94,191.08,190.94,191.07,101338
35,2023-09-01 14:00:00,191.08,191.12,191.02,191.12,49976
36,2023-09-01 14:05:00,191.13,191.15,191.08,191.1,103081
37,2023-09-01 14:10:00,191.1,191.1,190.97,191.0,190539
38,2023-09-01 14:15:00,191.0,191.01,190.96,190.99,230559
